Enter the purchase price of your home: $150000.00
Enter the term of the loan in years: 15
Enter your down payment percentage: 0.0

Loan amount: $150,000.00
Loan type: 15-Year Fixed, 90.1-100% LTV at 6.775% APR
Monthly Payment = $1329.44
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
   #            ($)                 ($)                  ($)             ($)   
==============================================================================
   0                                                150,000.00
   1           846.88              482.56           149,517.44          128.75
   2           844.15              485.29           149,032.15          128.75
   3           841.41              488.03           148,544.12          128.75
   4           838.66              490.78           148,053.34          128.75
   5           835.88              493.56           147,559.78          128.75
   6           833.10              496.34           147,063.44          128.75
   7           830.30              499.14           146,564.30          128.75
   8           827.48              501.96           146,062.34          128.75
   9           824.64              504.80           145,557.54          128.75
  10           821.79              507.65           145,049.89          128.75
  11           818.93              510.51           144,539.38          128.75
  12           816.05              513.39           144,025.99          128.75
  13           813.15              516.29           143,509.70          128.75
  14           810.23              519.21           142,990.49          128.75
  15           807.30              522.14           142,468.35          128.75
  16           804.35              525.09           141,943.26          128.75
  17           801.39              528.05           141,415.21          128.75
  18           798.41              531.03           140,884.18          128.75
  19           795.41              534.03           140,350.15          128.75
  20           792.39              537.05           139,813.10          128.75
  21           789.36              540.08           139,273.02          128.75
  22           786.31              543.13           138,729.89          128.75
  23           783.25              546.19           138,183.70          128.75
  24           780.16              549.28           137,634.42          128.75
  25           777.06              552.38           137,082.04          128.75
  26           773.94              555.50           136,526.54          128.75
  27           770.81              558.63           135,967.91          128.75
  28           767.65              561.79           135,406.12          128.75
  29           764.48              564.96           134,841.16          128.75
  30           761.29              568.15           134,273.01          128.75
  31           758.08              571.36           133,701.65          128.75
  32           754.86              574.58           133,127.07          128.75
  33           751.61              577.83           132,549.24          128.75
  34           748.35              581.09           131,968.15          128.75
  35           745.07              584.37           131,383.78          128.75
  36           741.77              587.67           130,796.11          128.75
  37           738.45              590.99           130,205.12          128.75
  38           735.12              594.32           129,610.80          128.75
  39           731.76              597.68           129,013.12          128.75
  40           728.39              601.05           128,412.07          128.75
  41           724.99              604.45           127,807.62          128.75
  42           721.58              607.86           127,199.76          128.75
  43           718.15              611.29           126,588.47          128.75
  44           714.70              614.74           125,973.73          128.75
  45           711.23              618.21           125,355.52          128.75
  46           707.74              621.70           124,733.82          128.75
  47           704.23              625.21           124,108.61          128.75
  48           700.70              628.74           123,479.87          128.75
  49           697.15              632.29           122,847.58          128.75
  50           693.58              635.86           122,211.72          128.75
  51           689.99              639.45           121,572.27          128.75
  52           686.38              643.06           120,929.21          128.75
  53           682.75              646.69           120,282.52          128.75
  54           679.10              650.34           119,632.18          128.75
  55           675.42              654.02           118,978.16            0.00
  56           671.73              657.71           118,320.45            0.00
  57           668.02              661.42           117,659.03            0.00
  58           664.28              665.16           116,993.87            0.00
  59           660.53              668.91           116,324.96            0.00
  60           656.75              672.69           115,652.27            0.00
  61           652.95              676.49           114,975.78            0.00
  62           649.13              680.31           114,295.47            0.00
  63           645.29              684.15           113,611.32            0.00
  64           641.43              688.01           112,923.31            0.00
  65           637.55              691.89           112,231.42            0.00
  66           633.64              695.80           111,535.62            0.00
  67           629.71              699.73           110,835.89            0.00
