Enter the purchase price of your home: $199900.00
Enter the term of the loan in years: 8
Enter a valid term: 30
Enter your down payment percentage: -10.0
Enter a valid down payment percentage: 10.0

Loan amount: $179,910.00
Loan type: 30-Year Fixed, 90% or less LTV at 7.000% APR
Monthly Payment = $1196.95
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
   #            ($)                 ($)                  ($)             ($)   
==============================================================================
   0                                                179,910.00
   1         1,049.48              147.47           179,762.53          101.20
   2         1,048.61              148.34           179,614.19          101.20
   3         1,047.75              149.20           179,464.99          101.20
   4         1,046.88              150.07           179,314.92          101.20
   5         1,046.00              150.95           179,163.97          101.20
   6         1,045.12              151.83           179,012.14          101.20
   7         1,044.24              152.71           178,859.43          101.20
   8         1,043.35              153.60           178,705.83          101.20
   9         1,042.45              154.50           178,551.33          101.20
  10         1,041.55              155.40           178,395.93          101.20
  11         1,040.64              156.31           178,239.62          101.20
  12         1,039.73              157.22           178,082.40          101.20
  13         1,038.81              158.14           177,924.26          101.20
  14         1,037.89              159.06           177,765.20          101.20
  15         1,036.96              159.99           177,605.21          101.20
  16         1,036.03              160.92           177,444.29          101.20
  17         1,035.09              161.86           177,282.43          101.20
  18         1,034.15              162.80           177,119.63          101.20
  19         1,033.20              163.75           176,955.88          101.20
  20         1,032.24              164.71           176,791.17          101.20
  21         1,031.28              165.67           176,625.50          101.20
  22         1,030.32              166.63           176,458.87          101.20
  23         1,029.34              167.61           176,291.26          101.20
  24         1,028.37              168.58           176,122.68          101.20
  25         1,027.38              169.57           175,953.11          101.20
  26         1,026.39              170.56           175,782.55          101.20
  27         1,025.40              171.55           175,611.00          101.20
  28         1,024.40              172.55           175,438.45          101.20
  29         1,023.39              173.56           175,264.89          101.20
  30         1,022.38              174.57           175,090.32          101.20
  31         1,021.36              175.59           174,914.73          101.20
  32         1,020.34              176.61           174,738.12          101.20
  33         1,019.31              177.64           174,560.48          101.20
  34         1,018.27              178.68           174,381.80          101.20
  35         1,017.23              179.72           174,202.08          101.20
  36         1,016.18              180.77           174,021.31          101.20
  37         1,015.12              181.83           173,839.48          101.20
  38         1,014.06              182.89           173,656.59          101.20
  39         1,013.00              183.95           173,472.64          101.20
  40         1,011.92              185.03           173,287.61          101.20
  41         1,010.84              186.11           173,101.50          101.20
  42         1,009.76              187.19           172,914.31          101.20
  43         1,008.67              188.28           172,726.03          101.20
  44         1,007.57              189.38           172,536.65          101.20
  45         1,006.46              190.49           172,346.16          101.20
  46         1,005.35              191.60           172,154.56          101.20
  47         1,004.23              192.72           171,961.84          101.20
  48         1,003.11              193.84           171,768.00          101.20
  49         1,001.98              194.97           171,573.03          101.20
  50         1,000.84              196.11           171,376.92          101.20
  51           999.70              197.25           171,179.67          101.20
  52           998.55              198.40           170,981.27          101.20
  53           997.39              199.56           170,781.71          101.20
  54           996.23              200.72           170,580.99          101.20
  55           995.06              201.89           170,379.10          101.20
  56           993.88              203.07           170,176.03          101.20
  57           992.69              204.26           169,971.77          101.20
  58           991.50              205.45           169,766.32          101.20
  59           990.30              206.65           169,559.67          101.20
  60           989.10              207.85           169,351.82          101.20
  61           987.89              209.06           169,142.76          101.20
